read0	RXN-7700
read69	13-PROPANEDIOL-DEHYDROGENASE-RXN
read70	RXN-11407
read71	URONATE-DEHYDROGENASE-RXN
read72	IMP-DEHYDROG-RXN
read73	1.1.1.215-RXN
read74	FARNESOL-DEHYDROGENASE-RXN
read75	RXN-7784
read76	RXN-600
read77	DIHYDROKAEMPFEROL-4-REDUCTASE-RXN
read78	RXN-17678
read79	UGD-RXN
read80	RXN-8001
read81	SHIKIMATE-5-DEHYDROGENASE-RXN
read82	GLYCOLATE-REDUCTASE-RXN
read83	1.1.1.261-RXN
read84	RXN-13179
read85	1.1.1.264-RXN
read86	L-IDONATE-2-DEHYDROGENASE-RXN
read87	DXPREDISOM-RXN
read88	L-LACTATE-DEHYDROGENASE-RXN
read89	1.1.1.271-RXN
read90	RXN-9397
read91	RXN-16003
read92	DLACTDEHYDROGNAD-RXN
read93	GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN
read94	RXN-2962
read95	RXN-17884
read96	GLYCERATE-DEHYDROGENASE-RXN
read97	ERYTHRON4PDEHYDROG-RXN
read98	1.1.1.292-RXN
read99	HOMOSERDEHYDROG-RXN
read100	3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
read101	RXN-10841
read102	RXN-14171
read103	RXN-10057
read104	RXN-11036
read105	RXN-11032
read106	RXN-18814
read107	1.2.1.66-RXN
read108	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN
read109	RXN-11689
read110	RXN-14054
read111	RXN-12898
read112	RXN-13069
read113	RXN-11081
read114	RXN-13585
read115	UDPMANNACADEHYDROG-RXN
read116	RXN-11690
read117	1.1.1.34-RXN
read118	RXN-3341
read119	RXN0-7020
read120	RXN-16133
read121	RXN-10698
read122	RXN-17781
read123	RXN-11245
read124	RXN-17794
read125	RXN-12705
read126	RXN-12570
read127	OHACYL-COA-DEHYDROG-RXN
read128	RXN-19803
read129	RXN0-2044
read130	RXN-10702
read131	RXN-12750
read132	RXN-17798
read133	RXN-10703
read134	RXN-17786
read135	RXN-12490
read136	RXN-17777
read137	RXN-11662
read138	RXN-17790
read139	RXN-13279
read140	RXN-5901
read141	RXN-12560
read142	RXN-14819
read143	RXN-14994
read144	HADTHAUERA-RXN
read145	RXN-14148
read146	MALATE-DEH-RXN
read147	RXN-13779
read148	RXN-14347
read149	1.1.1.39-RXN
read150	RXN-15920
read151	RXN-16001
read152	RR-BUTANEDIOL-DEHYDROGENASE-RXN
read153	MALIC-NADP-RXN
read154	ISOCITRATE-DEHYDROGENASE-NAD+-RXN
read155	ISOCITDEH-RXN
read156	RXN-9952
read157	GLUCOSE-1-DEHYDROGENASE-RXN
read158	GALACTODEHYDROG-RXN
read159	GLU6PDEHYDROG-RXN
read160	RIBITOL-2-DEHYDROGENASE-RXN
read161	MANNONOXIDOREDUCT-RXN
read162	ALTRO-OXIDOREDUCT-RXN
read163	GLYCDEH-RXN
read164	TSA-REDUCT-RXN
read165	4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
read166	MANNITOL-2-DEHYDROGENASE-RXN
read167	GLUCONATE-5-DEHYDROGENASE-RXN
read168	SS-BUTANEDIOL-DEHYDROGENASE-RXN
read169	GLYCOLALDREDUCT-RXN
read170	LACTALDREDUCT-RXN
read171	RXN-8641
read172	GLYOXYLATE-REDUCTASE-NADP+-RXN
read173	HYDROXYPYRUVATE-REDUCTASE-RXN
read174	1.1.1.83-RXN
read175	RXN-13158
read176	RXNQT-4178
read177	RXNQT-4174
read178	RXNQT-4171
read179	RXNQT-4168
read180	RXNQT-4165
read181	RXN-14986
read182	ACETOOHBUTREDUCTOISOM-RXN
read183	ACETOLACTREDUCTOISOM-RXN
read184	HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN
read185	BENZYL-ALCOHOL-DEHYDROGENASE-RXN
read186	RXN-16954
read187	RXN-8580
read188	RXN-9909
read189	RXN-8581
read190	BENZYL-ALC-DEHYDROGENASE-RXN
read191	RXN-16953
read192	ARYL-ALCOHOL-DEHYDROGENASE-RXN
read193	RXN-19387
read194	ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN
read195	RXN0-5141
read196	TARTRATE-DEHYDROGENASE-RXN
read197	RXN-8643
read198	GLYC3PDEHYDROGBIOSYN-RXN
read199	PGLYCDEHYDROG-RXN
read200	L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN
read201	D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN
read202	RXN-2861
read203	RXN-11332
read204	MOXXANAU-RXN
read205	RXN-11333
read206	RXN-969
read207	S-2-HYDROXY-ACID-OXIDASE-RXN
read208	RXN-9926
read209	1.1.3.41-RXN
read210	RXN-15300
read211	CHOLESTEROL-OXIDASE-RXN
read212	RXN-12778
read213	RXN-13689
read214	RXN0-6373
read215	GLYC3PDEHYDROG-RXN
read216	RXN-15740
read217	RXN-15745
read218	RXN0-5258-Yeast
read219	RXN0-5260
read220	RXNI-3
read221	MALATE-DEHYDROGENASE-ACCEPTOR-RXN
read222	RXN-11335
read223	RXN-11283
read224	RXN-11080
read225	RXN0-7230
read226	CHD-RXN
read227	1.1.99.28-RXN
read228	RXN-14204
read229	GLUCONATE-2-DEHYDROGENASE-RXN
read230	CHLORIDE-PEROXIDASE-RXN
read231	1.11.1.15-RXN
read232	RXN-8667
read233	CATAL-RXN
read234	CYTOCHROME-C-PEROXIDASE-RXN
read235	RXN66-1
read236	RXN-14189
read237	GLUTATHIONE-PEROXIDASE-RXN
read238	RXN-11820
read239	HYDROGEN-DEHYDROGENASE-RXN
read240	1.12.1.3-RXN
read241	1.12.5.1-RXN
read242	HYDROG-RXN
read243	RXN-16420
read244	RXN0-4141
read245	RXN0-5256
read246	CATECHOL-12-DIOXYGENASE-RXN
read247	RXN-8665
read248	CATECHOL-2-3-DIOXYGENASE-RXN
read249	RXN-13704
read250	RXN-11218
read251	CATECHOL-23-DIOXYGENASE-RXN
read252	RXN-11219
read253	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
read254	RXN-10815
read255	RXN-9731
read256	PROTOCATECHUATE-34-DIOXYGENASE-RXN
read257	RXN-10137
read258	1.13.11.49-RXN
read259	HOMOGENTISATE-12-DIOXYGENASE-RXN
read260	R146-RXN
read261	R147-RXN
read262	1.13.11.6-RXN
read263	RXN-8771
read264	PROTOCATECHUATE-45-DIOXYGENASE-RXN
read265	RXN-10425
read266	1.13.11.9-RXN
read267	RXN-16322
read268	2-NITROPROPANE-DIOXYGENASE-RXN
read269	RXN0-299
read270	1.14.11.2-RXN
read271	RXN0-984
read272	RXN-18739
read273	RXN0-986
read274	RXN0-7280
read275	RXN-12353
read276	RXN-18737
read277	RXN-18738
read278	R621-RXN
read279	RXN-9912
read280	RXN-10078
read281	SALICYLATE-1-MONOOXYGENASE-RXN
read282	RXN-10079
read283	RXN-9914
read284	RXN-9409
read285	RXN-9407
read286	RXN-9408
read287	RXN-10040
read288	MHPHYDROXY-RXN
read289	RXN0-2042
read290	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN
read291	24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN
read292	RXN-9866
read293	RXN-2401
read294	CYCLOHEXANONE-MONOOXYGENASE-RXN
read295	ANTHRANILOYL-COA-MONOOXYGENASE-RXN
read296	PCP4MONO-RXN
read297	RXN-8670
read298	RXN-13191
read299	RXN-10891
read300	R321-RXN
read301	KYNURENINE-3-MONOOXYGENASE-RXN
read302	RXN66-600
read303	RXN66-597
read304	RXN66-591
read305	RXN-11056
read306	RXN-17627
read307	RXN66-598
read308	RXN-13064
read309	RXN66-595
read310	UNSPECIFIC-MONOOXYGENASE-RXN
read311	RXN66-599
read312	RXN66-596
read313	RXN-8872
read314	RXN66-169
read315	RXN66-163
read316	RXN-11057
read317	RXN66-181
read318	RXN66-146
read319	RXN-8630
read320	RXN66-161
read321	RXN66-589
read322	RXN-12717
read323	HEME-OXYGENASE-DECYCLIZING-RXN
read324	RXN0-6973
read325	RXN-13418
read326	RXN0-280
read327	RXN-15341
read328	RXN-8505
read329	ALKANE-1-MONOOXYGENASE-RXN
read330	RXN66-569
read331	RXN-13907
read332	RXN-14206
read333	1.14.18.2-RXN
read334	RXN-10664
read335	1.14.19.1-RXN
read336	RXN-8389
read337	RXN-7903
read338	RXN-13426
read339	RXN-16065
read340	1.14.19.3-RXN
read341	RXN-16132
read342	RXN-17112
read343	RXN-10842
read344	RXN-12886
read345	RXN0-6444
read346	RXN-14697
read347	RXN-14696
read348	RXN-14430
read349	SUPEROX-DISMUT-RXN
read350	1.15.1.2-RXN
read351	MERCURY-II-REDUCTASE-RXN
read352	RXN0-1483
read353	RXN-15294
read354	1.17.1.1-RXN
read355	RXN0-901
read356	RXN-7682
read357	RXN-14014
read358	ADPREDUCT-RXN
read359	RXN0-747
read360	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
read361	RXN0-748
read362	UDPREDUCT-RXN
read363	CDPREDUCT-RXN
read364	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
read365	GDPREDUCT-RXN
read366	RXN0-722
read367	1.17.4.2-RXN
read368	RXN0-882
read369	RXN-15878
read370	RXN-12104
read371	RUBREDOXIN--NAD+-REDUCTASE-RXN
read372	RXN-17897
read373	1.18.1.2-RXN
read374	RXN-12365
read375	FERREDOXIN--NAD+-REDUCTASE-RXN
read376	NITROGENASE-RXN
read377	RXN-13671
read378	ACETALD-DEHYDROG-RXN
read379	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
read380	GAPOXNPHOSPHN-RXN
read381	RXN0-5293
read382	RXN-9958
read383	RXN-2902
read384	AMINOBUTDEHYDROG-RXN
read385	GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
read386	GLYCOLALD-DEHYDROG-RXN
read387	LACTALDDEHYDROG-RXN
read388	RXN-11213
read389	1.2.1.27-RXN
read390	RXN-9910
read391	RXN-8583
read392	BENZALDEHYDE-DEHYDROGENASE-NAD+-RXN
read393	RXN-8582
read394	RXN-17808
read395	RXN66-3
read396	RXN-16655
read397	RXN-14224
read398	RXN-37
read399	RXN6666-5
read400	RXN-9758
read401	RXN-10780
read402	RXN-10917
read403	R222-RXN
read404	RXN-16656
read405	RXN-14225
read406	RXN-3443
read407	RXN-16653
read408	RXN-10715
read409	RXN-10089
read410	RXN-10912
read411	RXN-4142
read412	RXN66-479
read413	RXN66-476
read414	RXN-14280
read415	RXN-16654
read416	RXN66-472
read417	ALDHDEHYDROG-RXN
read418	1.2.1.31-RXN
read419	ALLYSINE-DEHYDROG-RXN
read420	RXN-8837
read421	RXN-8831
read422	1.2.1.32-RXN
read423	N-ACETYLGLUTPREDUCT-RXN
read424	RXN-15006
read425	PHENDEHYD-RXN
read426	RXN-6002
read427	ALDXANAU-RXN
read428	ALDEHYDE-DEHYDROGENASE-NADP+-RXN
read429	RXN0-3962
read430	GLUTSEMIALDEHYDROG-RXN
read431	FORMALDEHYDE-DEHYDROGENASE-RXN
read432	RXN-1241
read433	GLUTRNAREDUCT-RXN
read434	SUCCGLUALDDEHYD-RXN
read435	RXN-8891
read436	SUCCSEMIALDDEHYDROG-RXN
read437	BADH-RXN
read438	RXN-8527
read439	RXN-15728
read440	RXN-12736
read441	RXN-15729
read442	RXN-14116
read443	1.2.1.9-RXN
read444	RXNMETA-12672
read445	1.2.3.3-RXN
read446	RXN0-1134
read447	2OXOGLUTDECARB-RXN
read448	KETOISOCAPROATE-RXN
read449	METHYLVALERATE-RXN
read450	1.2.4.4-RXN
read451	RXN-11496
read452	RXN-11496-YEAST
read453	PYRUFLAVREDUCT-RXN
read454	PYFLAVOXRE-RXN
read455	RXN-14474
read456	2-OXOGLUTARATE-SYNTHASE-RXN
read457	1.2.7.4-RXN
read458	1.2.7.5-RXN
read459	1.2.7.8-RXN
read460	RXN-982
read461	RXN-11189
read462	1.21.4.1-RXN
read463	RXN-7566
read464	1.21.4.4-RXN
read465	RXN-10620
read466	RXN0-6565
read467	DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN
read468	RXN-9534
read469	ENOYL-ACP-REDUCT-NADPH-RXN
read470	RXN-9542
read471	RXN-9538
read472	RXN-9515
read473	RXN3O-5293
read474	RXN-9530
read475	RXN-9526
read476	RXN-9521
read477	RXN-8765
read478	PREPHENATEDEHYDROG-RXN
read479	OROTATE-REDUCTASE-NADH-RXN
read480	CORTISONE-ALPHA-REDUCTASE-RXN
read481	1.3.99.5-RXN
read482	PROGESTERONE-5-ALPHA-REDUCTASE-RXN
read483	CHOLESTENONE-5-ALPHA-REDUCTASE-RXN
read484	RXN66-343
read485	DHBDEHYD-RXN
read486	2-ENOATE-REDUCTASE-RXN
read487	RXN-7911
read488	RXN-7835
read489	RXN-14776
read490	DIENOYLCOAREDUCT-RXN
read491	RXN-14790
read492	RXN-12521
read493	RXN-14715
read494	CYCLOHEXADIENYL-DEHYDROGENASE-RXN
read495	RXN-12558
read496	RXN-12559
read497	TRANS-2-ENOYL-COA-REDUCTASE-NAD+-RXN
read498	RXN-17524
read499	RXN-3766
read500	RXN-3562
read501	1.3.1.54-RXN
read502	RXN-11696
read503	RXN-5286
read504	RXN1F-72
read505	DIMETHUROPORDEHYDROG-RXN
read506	RXN-10625
read507	RXN-17428
read508	RXN-8957
read509	RXN-18384
read510	RXN-11726
read511	RXN1G-488
read512	RXN-10657
read513	RXN-11482
read514	RXN-16632
read515	RXN-9663
read516	RXN-9660
read517	RXN-10661
read518	RXN0-2145
read519	RXN-9657
read520	RXN-16620
read521	RXN1G-395
read522	RXN-10062
read523	RXN1G-526
read524	RXN-9661
read525	RXN-9658
read526	RXN-16624
read527	RXN-9558
read528	ENOYL-ACP-REDUCT-NADH-RXN
read529	RXN-9635
read530	RXN-11478
read531	RXN-9662
read532	RXN-16628
read533	RXN-9659
read534	UDPNACETYLMURAMATEDEHYDROG-RXN
read535	RXN-11181
read536	RXN0-1461
read537	PROTOPORGENOXI-RXN
read538	RXN-18461
read539	RXN-15977
read540	RXN-17113
read541	RXN-14789
read542	RXN-14796
read543	RXN-16134
read544	RXN-14576
read545	RXN-11026
read546	RXN-12669
read547	RXN-18383
read548	RXN-10696
read549	RXN-14771
read550	RXN-10706
read551	RXN-12518
read552	RXN-14775
read553	RXN-14785
read554	RXN-10707
read555	RXN-15378
read556	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
read557	SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN
read558	RXN-14971
read559	RXN0-6491
read560	RXN0-6554
read561	DIHYDROOROTATE-DEHYDROGENASE-RXN
read562	RXN-14963
read563	R601-RXN
read564	RXN-14970
read565	RXN-17485
read566	RXN-11902
read567	1.3.99.15-RXN
read568	OHBENZCOARED-RXN
read569	PROPCOASYN-RXN
read570	RXN-13449
read571	BUTYRYL-COA-DEHYDROGENASE-RXN
read572	RXN0-2301
read573	GLUTARYL-COA-DEHYDROGENASE-RXN
read574	RXN-14262
read575	RXN-11734
read576	RXN-14278
read577	RXN-14229
read578	RXN-13615
read579	RXN-9929
read580	1.3.99.16-RXN
read581	RXN-12411
read582	RXN-11647
read583	RXN-12247
read584	RXN-12410
read585	RXN-12414
read586	2-FUROYL-COA-DEHYDROGENASE-RXN
read587	ALANINE-DEHYDROGENASE-RXN
read588	1.4.1.11-RXN
read589	GLUTAMATESYN-RXN
read590	GLUTAMATE-SYNTHASE-NADH-RXN
read591	DIAMINOPIMELATE-DEHYDROGENASE-RXN
read592	GLUTAMATE-DEHYDROGENASE-RXN
read593	1.4.1.21-RXN
read594	RXN-13184
read595	GLUTAMATE-DEHYDROGENASE-NADP+-RXN
read596	GLUTDEHYD-RXN
read597	ILEDEAMINE-RXN
read598	LEUCINE-DEHYDROGENASE-RXN
read599	L-ASPARTATE-OXID-RXN
read600	1.4.3.19-RXN
read601	RXN-8672
read602	RXN-17951
read603	RXN-8673
read604	RXN-8674
read605	L-AMINO-ACID-OXIDASE-RXN
read606	RXN-12487
read607	RXN-17130
read608	AMACETOXID-RXN
read609	RXN-9597
read610	AMINEPHEN-RXN
read611	AMINEOXID-RXN
read612	D-AMINO-ACID-OXIDASE-RXN
read613	RXN-8163
read614	RXN-10910
read615	RXN-10907
read616	RXN-5821
read617	RXN-10908
read618	RXN-9598
read619	RXN-10817
read620	RXN-10778
read621	RXN-1
read622	RXN6666-4
read623	RXN-11067
read624	RXN-10913
read625	RXN-1401
read626	PNPOXI-RXN
read627	PMPOXI-RXN
read628	GCVP-RXN
read629	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
read630	RXN-7563
read631	RXN66-546
read632	PYRROLINECARBREDUCT-RXN
read633	1.5.1.20-RXN
read634	1.5.1.25-RXN
read635	1.5.1.28-RXN
read636	RXN-19329
read637	DIHYDROFOLATEREDUCT-RXN
read638	RXN-18357
read639	1.1.1.253-RXN
read640	RXN-14245
read641	RXN-13909
read642	1.5.1.34-RXN
read643	RXN-12444
read644	FMNREDUCT-RXN
read645	RXN-10029
read646	METHYLENETHFDEHYDROG-NADP-RXN
read647	1.5.1.7-RXN
read648	SARCOX-RXN
read649	1.5.5.1-RXN-YEAST
read650	RXN66-550
read651	RXN0-7008
read652	RXN-14903
read653	1.5.8.1-RXN
read654	1.5.8.2-RXN
read655	METHELENE-THMPT-OXI-RXN
read656	PYRNUTRANSHYDROGEN-RXN
read657	NADPH--FERRIHEMOPROTEIN-REDUCTASE-RXN
read658	NQOR-RXN
read659	RXN-19671
read660	RXN-12303
read661	QOR-RXN
read662	NADPH-DEHYDROGENASE-RXN
read663	NADH-DEHYDROGENASE-RXN
read664	RXN0-4022
read665	RXN-13854
read666	AZOBENZENE-REDUCTASE-RXN
read667	GMP-REDUCT-RXN
read668	NITRITE-REDUCTASE-CYTOCHROME-RXN
read669	RXN-15838
read670	RXN-18605
read671	1.7.2.2-RXN
read672	RXN-19619
read673	RXN-19618
read674	RXN-19617
read675	1.7.2.3-RXN
read676	RXN-12130
read677	NITRIC-OXIDE-REDUCTASE-RXN
read678	URATE-OXIDASE-RXN
read679	FERREDOXIN--NITRITE-REDUCTASE-RXN
read680	HYDROXYLAMINE-REDUCTASE-RXN
read681	1.8.1.15-RXN
read682	SULFITE-REDUCT-RXN
read683	RXN-7719
read684	RXN0-1132
read685	RXN-8629
read686	1.8.1.4-RXN
read687	RXN-7716
read688	GLUTATHIONE-REDUCT-NADPH-RXN
read689	1.6.4.4-RXN
read690	THIOREDOXIN-REDUCT-NADPH-RXN
read691	RXN-8156
read692	SULFITE-OXIDASE-RXN
read693	RXN-8668
read694	1.8.4.12-RXN
read695	1.8.4.8-RXN
read696	1.8.5.2-RXN
read697	DIMESULFREDUCT-RXN
read698	RXN-20076
read699	SULFITE-REDUCTASE-FERREDOXIN-RXN
read700	1.8.98.1-RXN
read701	ADENYLYLSULFATE-REDUCTASE-RXN
read702	RXN-11944
read703	RXN-17803
read704	RXN-17805
read705	HYDROGENSULFITE-REDUCTASE-RXN
read706	CYTOCHROME-C-OXIDASE-RXN
read707	RXN-15830
read708	TDCEACT-RXN
read709	RXN0-2101
read710	HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN
read711	MMUM-RXN
read712	CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN
read713	RXN-13403
read714	RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN
read715	HOMOCYSMETB12-RXN
read716	2.1.1.130-RXN
read717	2.1.1.131-RXN
read718	2.1.1.132-RXN
read719	2.1.1.133-RXN
read720	HOMOCYSMET-RXN
read721	RXN-12730
read722	RXN0-2441
read723	RXN-8850
read724	2.1.1.151-RXN
read725	RXN-8760
read726	R322-RXN
read727	RXN-9220
read728	RXN-9366
read729	RXN-11046
read730	RXN-9363
read731	RXN-9205
read732	RXN-19667
read733	RXN-9361
read734	RXN-14177
read735	RXN-9362
read736	RXN-9191
read737	ADOMET-DMK-METHYLTRANSFER-RXN
read738	RXN-11845
read739	2.1.1.17-RXN
read740	RXN-11578
read741	RXN0-6515
read742	RXN-11576
read743	RXN-11574
read744	RXN-11591
read745	RXN-11592
read746	RXN-11596
read747	RXN-11633
read748	RXN-11597
read749	RXN-11588
read750	RXN-11573
read751	RXN-11601
read752	RXN-11602
read753	RXN-11586
read754	RXN-11598
read755	RXN-8764
read756	RXN-8766
read757	RXN-11475
read758	RXN-11637
read759	RXN-11638
read760	RXN-11866
read761	RXN-11867
read762	RXN-11754
read763	RXN3O-54
read764	RXN-9235
read765	RXN-9242
read766	RXN-14296
read767	RXN-9227
read768	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN
read769	RXN-11865
read770	RXN-11860
read771	RXN-10669
read772	RXN-12472
read773	RXN-12469
read774	RXN-12466
read775	RXN-12160
read776	RXN-9225
read777	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN
read778	RXN-9233
read779	RXN-9240
read780	RXN-12480
read781	RXN-12463
read782	RXN-12462
read783	RXN-12458
read784	RXN-14517
read785	RXN0-6731
read786	RXN-12908
read787	RXN-8102
read788	METHCOCLTH-RXN
read789	RXN-17760
read790	RXN0-6950
read791	RXN0-6998
read792	RXN-8762
read793	RXN-8767
read794	RXN-14992
read795	RXN0-1241
read796	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
read797	2.1.1.34-RXN
read798	TRNA-URACIL-5--METHYLTRANSFERASE-RXN
read799	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
read800	2.1.1.44-RXN
read801	RXN-14437
read802	RXN-14438
read803	RXN-14431
read804	THYMIDYLATESYN-RXN
read805	2.1.1.63-RXN
read806	RXN-17824
read807	RXN-9237
read808	RXN-11758
read809	DHHB-METHYLTRANSFER-RXN
read810	2.1.1.64-RXN
read811	RXN-9229
read812	RXN3O-102
read813	RXN-14293
read814	2.1.1.71-RXN
read815	RXN4FS-2
read816	2.1.1.72-RXN
read817	2.1.1.74-RXN
read818	2.1.1.77-RXN
read819	RXN1G-2544
read820	2.1.1.79-RXN
read821	RXN-7421
read822	RXN1G-3641
read823	CHER-RXN
read824	2.1.1.90-RXN
read825	RXN-8095
read826	GLYOHMETRANS-RXN
read827	GCVT-RXN
read828	RXN-15635
read829	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN
read830	GART-RXN
read831	AICARTRANSFORM-RXN
read832	GLUTAMATE-FORMIMINOTRANSFERASE-RXN
read833	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
read834	RXN-9778
read835	ASPCARBTRANS-RXN
read836	ORNCARBAMTRANSFER-RXN
read837	RXN-13482
read838	PUTRESCINE-CARBAMOYLTRANSFERASE-RXN
read839	GLYCINE-AMIDINOTRANSFERASE-RXN
read840	RXN-8348
read841	1TRANSKETO-RXN
read842	2TRANSKETO-RXN
read843	TRANSALDOL-RXN
read844	ACETOOHBUTSYN-RXN
read845	ACETOLACTSYN-RXN
read846	DXS-RXN
read847	2.5.1.64-RXN
read848	RXN0-6948
read849	N-ACETYLTRANSFER-RXN
read850	2.3.1.101-RXN
read851	ARGININE-N-SUCCINYLTRANSFERASE-RXN
read852	RXN-7561
read853	TETHYDPICSUCC-RXN
read854	2.3.1.118-RXN
read855	RXN0-1133
read856	DIHYDLIPACETRANS-RXN
read857	UDPNACETYLGLUCOSAMACYLTRANS-RXN
read858	RXN-17018
read859	RXN-17016
read860	RXN-17017
read861	RXN-10462
read862	RXN-15045
read863	RXN-13805
read864	RXN-16117
read865	RXN-16024
read866	RXN-1381
read867	2.3.1.157-RXN
read868	METHYLACETOACETYLCOATHIOL-RXN
read869	RXN-17787
read870	RXN-17116
read871	RXN-12561
read872	RXN-10701
read873	RXN-14277
read874	RXN-20153
read875	RXN-14274
read876	RXN-17778
read877	RXN-13617
read878	RXN-17791
read879	RXN-14799
read880	RXN-12565
read881	RXN-16137
read882	RXN-14793
read883	RXN-10699
read884	RXN-17782
read885	RXN-14774
read886	RXN-11246
read887	RXN-17795
read888	RXN-14803
read889	RXN-14268
read890	RXN-19804
read891	KETOACYLCOATHIOL-RXN
read892	RXN-19800
read893	RXN-12751
read894	ACETYL-COA-ACETYLTRANSFER-RXN
read895	RXN-10700
read896	RXN-17799
read897	RXN-12710
read898	RXN-14788
read899	RXN-14394
read900	RXN-8809
read901	2.3.1.164-RXN
read902	MBCOA-DHLIPOAMIDE-RXN
read903	ISOVALERYLCOA-DHLIPOAMIDE-RXN
read904	2.3.1.168-RXN
read905	ACETYLSYNCLTH-RXN
read906	R102-RXN
read907	RXN-9516
read908	RXN-16625
read909	3-OXOACYL-ACP-SYNTH-BASE-RXN
read910	RXN-9531
read911	RXN-10654
read912	RXN1G-460
read913	RXN-11479
read914	RXN-9527
read915	RXN-16615
read916	2.3.1.41-RXN
read917	RXN-9523
read918	RXN-16629
read919	2.3.1.179-RXN
read920	3-OXOACYL-ACP-SYNTH-RXN
read921	RXN-9535
read922	RXN-10658
read923	RXN3O-1803
read924	RXN0-2141
read925	RXN-9539
read926	RXN-16621
read927	RXN-8391
read928	RXN-11474
read929	GALACTOACETYLTRAN-RXN
read930	2.3.1.180-RXN
read931	RXN-13037
read932	RXN0-947
read933	RXN-7743
read934	RXN-9382
read935	RXN-10837
read936	RXN-9729
read937	RXN1G-4
read938	PHOSPHATE-BUTYRYLTRANSFERASE-RXN
read939	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
read940	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN
read941	RXN-13589
read942	RXN-10000
read943	RXN-13253
read944	RXN-13036
read945	RXN-13613
read946	RXN-14718
read947	RXN-14719
read948	RXN-14570
read949	LAUROYLACYLTRAN-RXN
read950	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
read951	AKBLIG-RXN
