read0	RXN-7700
read68	DIHYDROKAEMPFEROL-4-REDUCTASE-RXN
read69	RXN-17678
read70	UGD-RXN
read71	RXN-8001
read72	SHIKIMATE-5-DEHYDROGENASE-RXN
read73	GLYCOLATE-REDUCTASE-RXN
read74	1.1.1.261-RXN
read75	RXN-13179
read76	1.1.1.264-RXN
read77	L-IDONATE-2-DEHYDROGENASE-RXN
read78	DXPREDISOM-RXN
read79	L-LACTATE-DEHYDROGENASE-RXN
read80	1.1.1.271-RXN
read81	RXN-16003
read82	DLACTDEHYDROGNAD-RXN
read83	RXN-2962
read84	RXN-17884
read85	GLYCERATE-DEHYDROGENASE-RXN
read86	ERYTHRON4PDEHYDROG-RXN
read87	1.1.1.292-RXN
read88	HOMOSERDEHYDROG-RXN
read89	3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
read90	RXN-10841
read91	RXN-14171
read92	RXN-10057
read93	RXN-11036
read94	RXN-11032
read95	RXN-18814
read96	1.2.1.66-RXN
read97	3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN
read98	RXN-11689
read99	RXN-1884
read100	RXN-13069
read101	RXN-11081
read102	RXN-13585
read103	UDPMANNACADEHYDROG-RXN
read104	RXN-11690
read105	RXN-3341
read106	RXN0-7020
read107	RXN-16133
read108	RXN-10698
read109	RXN-17781
read110	RXN-11245
read111	RXN-17794
read112	RXN-12705
read113	RXN-12570
read114	OHACYL-COA-DEHYDROG-RXN
read115	RXN-19803
read116	RXN0-2044
read117	RXN-10702
read118	RXN-12750
read119	RXN-17798
read120	RXN-10703
read121	RXN-17786
read122	RXN-12490
read123	RXN-17777
read124	RXN-11662
read125	RXN-17790
read126	RXN-13279
read127	RXN-5901
read128	RXN-12560
read129	RXN-14819
read130	RXN-14994
read131	RXN-14148
read132	MALATE-DEH-RXN
read133	RXN-13779
read134	1.1.1.39-RXN
read135	RXN-15920
read136	RR-BUTANEDIOL-DEHYDROGENASE-RXN
read137	MALIC-NADP-RXN
read138	ISOCITRATE-DEHYDROGENASE-NAD+-RXN
read139	ISOCITDEH-RXN
read140	RXN-9952
read141	GLUCOSE-1-DEHYDROGENASE-RXN
read142	GALACTODEHYDROG-RXN
read143	GLU6PDEHYDROG-RXN
read144	RIBITOL-2-DEHYDROGENASE-RXN
read145	MANNONOXIDOREDUCT-RXN
read146	ALTRO-OXIDOREDUCT-RXN
read147	GLYCDEH-RXN
read148	TSA-REDUCT-RXN
read149	4-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
read150	MANNITOL-2-DEHYDROGENASE-RXN
read151	GLUCONATE-5-DEHYDROGENASE-RXN
read152	SS-BUTANEDIOL-DEHYDROGENASE-RXN
read153	GLYCOLALDREDUCT-RXN
read154	LACTALDREDUCT-RXN
read155	RXN-8641
read156	GLYOXYLATE-REDUCTASE-NADP+-RXN
read157	HYDROXYPYRUVATE-REDUCTASE-RXN
read158	1.1.1.83-RXN
read159	RXN-13158
read160	RXNQT-4178
read161	RXNQT-4174
read162	RXNQT-4171
read163	RXNQT-4168
read164	RXNQT-4165
read165	RXN-14986
read166	ACETOOHBUTREDUCTOISOM-RXN
read167	ACETOLACTREDUCTOISOM-RXN
read168	RXN-19387
read169	ARYL-ALCOHOL-DEHYDROGENASE-NADP+-RXN
read170	RXN0-5141
read171	TARTRATE-DEHYDROGENASE-RXN
read172	RXN-8643
read173	GLYC3PDEHYDROGBIOSYN-RXN
read174	PGLYCDEHYDROG-RXN
read175	L-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN
read176	D-LACTATE-DEHYDROGENASE-CYTOCHROME-RXN
read177	RXN-2861
read178	RXN-11332
read179	MOXXANAU-RXN
read180	RXN-11333
read181	RXN-969
read182	S-2-HYDROXY-ACID-OXIDASE-RXN
read183	RXN-13178
read184	CHOLESTEROL-OXIDASE-RXN
read185	RXN-12778
read186	RXN-13689
read187	RXN0-6373
read188	GLYC3PDEHYDROG-RXN
read189	RXN-15740
read190	RXN-15745
read191	RXN0-5258-Yeast
read192	RXN0-5260
read193	RXNI-3
read194	MALATE-DEHYDROGENASE-ACCEPTOR-RXN
read195	RXN-11283
read196	RXN-11080
read197	RXN0-7230
read198	CHD-RXN
read199	1.1.99.28-RXN
read200	RXN-14204
read201	GLUCONATE-2-DEHYDROGENASE-RXN
read202	CHLORIDE-PEROXIDASE-RXN
read203	1.11.1.15-RXN
read204	RXN-11813
read205	RXN-8667
read206	CATAL-RXN
read207	CYTOCHROME-C-PEROXIDASE-RXN
read208	RXN66-1
read209	RXN-14189
read210	GLUTATHIONE-PEROXIDASE-RXN
read211	RXN-11820
read212	1.12.1.3-RXN
read213	1.12.5.1-RXN
read214	HYDROG-RXN
read215	RXN-16420
read216	RXN0-4141
read217	RXN0-5256
read218	CATECHOL-12-DIOXYGENASE-RXN
read219	RXN-8665
read220	CATECHOL-2-3-DIOXYGENASE-RXN
read221	RXN-13704
read222	RXN-11218
read223	CATECHOL-23-DIOXYGENASE-RXN
read224	RXN-11219
read225	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
read226	RXN-10815
read227	RXN-9731
read228	PROTOCATECHUATE-34-DIOXYGENASE-RXN
read229	RXN-10137
read230	1.13.11.49-RXN
read231	HOMOGENTISATE-12-DIOXYGENASE-RXN
read232	1.13.11.6-RXN
read233	RXN-8771
read234	1.13.11.9-RXN
read235	RXN-16322
read236	2-NITROPROPANE-DIOXYGENASE-RXN
read237	RXN0-299
read238	1.14.11.2-RXN
read239	RXN0-984
read240	RXN-18739
read241	RXN0-986
read242	RXN0-7280
read243	RXN-12353
read244	RXN-18737
read245	RXN-18738
read246	R621-RXN
read247	RXN-9912
read248	RXN-10078
read249	SALICYLATE-1-MONOOXYGENASE-RXN
read250	RXN-10079
read251	RXN-9914
read252	RXN-9409
read253	RXN-9407
read254	RXN-9408
read255	RXN-10040
read256	MHPHYDROXY-RXN
read257	RXN0-2042
read258	4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN
read259	RXN-2401
read260	CYCLOHEXANONE-MONOOXYGENASE-RXN
read261	ANTHRANILOYL-COA-MONOOXYGENASE-RXN
read262	1.14.13.59-RXN
read263	RXN-10129
read264	RXN-10125
read265	PHENOL-2-MONOOXYGENASE-RXN
read266	RXN-10127
read267	RXN-10128
read268	RXN-13191
read269	RXN-10891
read270	R321-RXN
read271	RXN66-600
read272	RXN66-597
read273	RXN66-591
read274	RXN-11056
read275	RXN-17627
read276	RXN66-598
read277	RXN-13064
read278	RXN66-595
read279	UNSPECIFIC-MONOOXYGENASE-RXN
read280	RXN66-599
read281	RXN66-596
read282	RXN-8872
read283	RXN66-169
read284	RXN66-163
read285	RXN-11057
read286	RXN66-181
read287	RXN66-146
read288	RXN-8630
read289	RXN66-161
read290	RXN66-589
read291	RXN0-6973
read292	RXN-13418
read293	RXN0-280
read294	RXN-15341
read295	RXN-8505
read296	RXN66-569
read297	RXN-13907
read298	RXN-14206
read299	1.14.18.2-RXN
read300	RXN-10664
read301	1.14.19.1-RXN
read302	RXN-13426
read303	RXN-16065
read304	1.14.19.3-RXN
read305	RXN-16132
read306	RXN-17112
read307	RXN-10842
read308	RXN-12886
read309	RXN0-6444
read310	RXN-14430
read311	SUPEROX-DISMUT-RXN
read312	1.15.1.2-RXN
read313	RXN0-1483
read314	RXN-15294
read315	RXN0-901
read316	RXN-7682
read317	RXN-14014
read318	ADPREDUCT-RXN
read319	RXN0-747
read320	RIBONUCLEOSIDE-DIP-REDUCTII-RXN
read321	RXN0-748
read322	UDPREDUCT-RXN
read323	CDPREDUCT-RXN
read324	RIBONUCLEOSIDE-DIP-REDUCTI-RXN
read325	GDPREDUCT-RXN
read326	RXN0-722
read327	1.17.4.2-RXN
read328	RXN0-882
read329	RXN-15878
read330	RXN-12104
read331	RUBREDOXIN--NAD+-REDUCTASE-RXN
read332	RXN-17897
read333	1.18.1.2-RXN
read334	RXN-12365
read335	FERREDOXIN--NAD+-REDUCTASE-RXN
read336	NITROGENASE-RXN
read337	RXN-13671
read338	ACETALD-DEHYDROG-RXN
read339	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
read340	GAPOXNPHOSPHN-RXN
read341	RXN0-5293
read342	RXN-9958
read343	RXN-2902
read344	AMINOBUTDEHYDROG-RXN
read345	GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
read346	GLYCOLALD-DEHYDROG-RXN
read347	LACTALDDEHYDROG-RXN
read348	RXN-11213
read349	1.2.1.27-RXN
read350	RXN-17808
read351	RXN66-3
read352	RXN-16655
read353	RXN-14224
read354	RXN-37
read355	RXN6666-5
read356	RXN-9758
read357	RXN-10780
read358	RXN-10917
read359	R222-RXN
read360	RXN-16656
read361	RXN-14225
read362	RXN-3443
read363	RXN-16653
read364	RXN-10715
read365	RXN-10089
read366	RXN-10912
read367	RXN-4142
read368	RXN66-479
read369	RXN66-476
read370	RXN-14280
read371	RXN-16654
read372	RXN66-472
read373	ALDHDEHYDROG-RXN
read374	1.2.1.31-RXN
read375	ALLYSINE-DEHYDROG-RXN
read376	N-ACETYLGLUTPREDUCT-RXN
read377	RXN-15006
read378	RXN-6002
read379	ALDXANAU-RXN
read380	ALDEHYDE-DEHYDROGENASE-NADP+-RXN
read381	RXN0-3962
read382	GLUTSEMIALDEHYDROG-RXN
read383	FORMALDEHYDE-DEHYDROGENASE-RXN
read384	CHMS-DEHYDROGENASE-RXN
read385	RXN-1241
read386	GLUTRNAREDUCT-RXN
read387	SUCCGLUALDDEHYD-RXN
read388	RXN-8891
read389	SUCCSEMIALDDEHYDROG-RXN
read390	BADH-RXN
read391	RXN-15728
read392	RXN-12736
read393	RXN-15729
read394	RXN-14116
read395	1.2.1.9-RXN
read396	RXNMETA-12672
read397	RXN0-1134
read398	2OXOGLUTDECARB-RXN
read399	KETOISOCAPROATE-RXN
read400	METHYLVALERATE-RXN
read401	1.2.4.4-RXN
read402	RXN-11496
read403	RXN-11496-YEAST
read404	PYRUFLAVREDUCT-RXN
read405	PYFLAVOXRE-RXN
read406	RXN-14474
read407	2-OXOGLUTARATE-SYNTHASE-RXN
read408	1.2.7.4-RXN
read409	1.2.7.5-RXN
read410	1.2.7.8-RXN
read411	RXN-982
read412	RXN-11189
read413	1.21.4.1-RXN
read414	RXN-7566
read415	1.21.4.4-RXN
read416	RXN-10620
read417	RXN0-6565
read418	DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN
read419	RXN-9534
read420	ENOYL-ACP-REDUCT-NADPH-RXN
read421	RXN-9542
read422	RXN-9538
read423	RXN-9515
read424	RXN3O-5293
read425	RXN-9530
read426	RXN-9526
read427	RXN-9521
read428	RXN-8765
read429	PREPHENATEDEHYDROG-RXN
read430	OROTATE-REDUCTASE-NADH-RXN
read431	CORTISONE-ALPHA-REDUCTASE-RXN
read432	1.3.99.5-RXN
read433	PROGESTERONE-5-ALPHA-REDUCTASE-RXN
read434	CHOLESTENONE-5-ALPHA-REDUCTASE-RXN
read435	RXN66-343
read436	2-ENOATE-REDUCTASE-RXN
read437	RXN-7911
read438	RXN-7835
read439	RXN-14776
read440	DIENOYLCOAREDUCT-RXN
read441	RXN-14790
read442	RXN-12521
read443	RXN-14715
read444	CYCLOHEXADIENYL-DEHYDROGENASE-RXN
read445	RXN-12558
read446	RXN-12559
read447	TRANS-2-ENOYL-COA-REDUCTASE-NAD+-RXN
read448	RXN-17524
read449	1.3.1.54-RXN
read450	RXN-11696
read451	RXN-5286
read452	RXN1F-72
read453	DIMETHUROPORDEHYDROG-RXN
read454	RXN-10625
read455	RXN-17428
read456	RXN-8957
read457	RXN-18384
read458	RXN-11726
read459	RXN1G-488
read460	RXN-10657
read461	RXN-11482
read462	RXN-16632
read463	RXN-9663
read464	RXN-9660
read465	RXN-10661
read466	RXN0-2145
read467	RXN-9657
read468	RXN-16620
read469	RXN1G-395
read470	RXN-10062
read471	RXN1G-526
read472	RXN-9661
read473	RXN-9658
read474	RXN-16624
read475	RXN-9558
read476	ENOYL-ACP-REDUCT-NADH-RXN
read477	RXN-9635
read478	RXN-11478
read479	RXN-9662
read480	RXN-16628
read481	RXN-9659
read482	UDPNACETYLMURAMATEDEHYDROG-RXN
read483	RXN-11181
read484	RXN0-1461
read485	PROTOPORGENOXI-RXN
read486	RXN-18461
read487	RXN-15977
read488	RXN-17113
read489	RXN-14789
read490	RXN-14796
read491	RXN-16134
read492	RXN-14576
read493	RXN-11026
read494	RXN-12669
read495	RXN-18383
read496	RXN-10696
read497	RXN-14771
read498	RXN-10706
read499	RXN-12518
read500	RXN-14775
read501	RXN-14785
read502	RXN-10707
read503	RXN-15378
read504	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
read505	SUCCINATE-DEHYDROGENASE-UBIQUINONE6-RXN
read506	RXN-14971
read507	RXN0-6491
read508	RXN0-6554
read509	DIHYDROOROTATE-DEHYDROGENASE-RXN
read510	RXN-14963
read511	R601-RXN
read512	RXN-14970
read513	RXN-17485
read514	RXN-11902
read515	PROPCOASYN-RXN
read516	RXN-13449
read517	BUTYRYL-COA-DEHYDROGENASE-RXN
read518	RXN0-2301
read519	GLUTARYL-COA-DEHYDROGENASE-RXN
read520	RXN-14262
read521	RXN-11734
read522	RXN-14278
read523	RXN-14229
read524	RXN-13615
read525	RXN-9929
read526	1.3.99.16-RXN
read527	RXN-12411
read528	RXN-11647
read529	RXN-12247
read530	RXN-12410
read531	RXN-12414
read532	RXN-14236
read533	2-FUROYL-COA-DEHYDROGENASE-RXN
read534	ALANINE-DEHYDROGENASE-RXN
read535	1.4.1.11-RXN
read536	GLUTAMATESYN-RXN
read537	GLUTAMATE-SYNTHASE-NADH-RXN
read538	DIAMINOPIMELATE-DEHYDROGENASE-RXN
read539	GLUTAMATE-DEHYDROGENASE-RXN
read540	1.4.1.21-RXN
read541	GLUTAMATE-DEHYDROGENASE-NADP+-RXN
read542	GLUTDEHYD-RXN
read543	ILEDEAMINE-RXN
read544	LEUCINE-DEHYDROGENASE-RXN
read545	PUTRESCINE-OXIDASE-RXN
read546	L-ASPARTATE-OXID-RXN
read547	1.4.3.19-RXN
read548	RXN-8672
read549	RXN-17951
read550	RXN-8673
read551	RXN-8674
read552	AMACETOXID-RXN
read553	RXN-9597
read554	AMINEPHEN-RXN
read555	AMINEOXID-RXN
read556	RXN-10910
read557	RXN-10907
read558	RXN-5821
read559	RXN-10908
read560	RXN-9598
read561	RXN-10817
read562	RXN-10778
read563	RXN-1
read564	RXN6666-4
read565	RXN-11067
read566	RXN-10913
read567	RXN-1401
read568	PNPOXI-RXN
read569	PMPOXI-RXN
read570	GCVP-RXN
read571	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
read572	RXN-7563
read573	RXN66-546
read574	PYRROLINECARBREDUCT-RXN
read575	1.5.1.20-RXN
read576	1.5.1.25-RXN
read577	1.5.1.28-RXN
read578	RXN-19329
read579	DIHYDROFOLATEREDUCT-RXN
read580	RXN-18357
read581	RXN-14245
read582	RXN-13909
read583	1.5.1.34-RXN
read584	RXN-12444
read585	FMNREDUCT-RXN
read586	RXN-10029
read587	METHYLENETHFDEHYDROG-NADP-RXN
read588	1.5.1.7-RXN
read589	SARCOX-RXN
read590	1.5.5.1-RXN-YEAST
read591	RXN66-550
read592	RXN0-7008
read593	RXN-14903
read594	1.5.8.1-RXN
read595	1.5.8.2-RXN
read596	METHELENE-THMPT-OXI-RXN
read597	PYRNUTRANSHYDROGEN-RXN
read598	NQOR-RXN
read599	RXN-19671
read600	RXN-12303
read601	QOR-RXN
read602	NADH-DEHYDROGENASE-RXN
read603	RXN0-4022
read604	RXN-13854
read605	GMP-REDUCT-RXN
read606	NITRITE-REDUCTASE-CYTOCHROME-RXN
read607	RXN-15838
read608	RXN-18605
read609	1.7.2.2-RXN
read610	RXN-19619
read611	RXN-19618
read612	RXN-19617
read613	1.7.2.3-RXN
read614	NITRIC-OXIDE-REDUCTASE-RXN
read615	URATE-OXIDASE-RXN
read616	FERREDOXIN--NITRITE-REDUCTASE-RXN
read617	HYDROXYLAMINE-REDUCTASE-RXN
read618	1.8.1.15-RXN
read619	SULFITE-REDUCT-RXN
read620	RXN-7719
read621	RXN0-1132
read622	RXN-8629
read623	1.8.1.4-RXN
read624	RXN-7716
read625	GLUTATHIONE-REDUCT-NADPH-RXN
read626	1.6.4.4-RXN
read627	THIOREDOXIN-REDUCT-NADPH-RXN
read628	SULFITE-OXIDASE-RXN
read629	RXN-8668
read630	1.8.4.12-RXN
read631	1.8.4.8-RXN
read632	1.8.5.2-RXN
read633	DIMESULFREDUCT-RXN
read634	RXN-20076
read635	SULFITE-REDUCTASE-FERREDOXIN-RXN
read636	1.8.98.1-RXN
read637	ADENYLYLSULFATE-REDUCTASE-RXN
read638	CYTOCHROME-C-OXIDASE-RXN
read639	RXN-15830
read640	TDCEACT-RXN
read641	RXN0-2101
read642	HOMOCYSTEINE-S-METHYLTRANSFERASE-RXN
read643	MMUM-RXN
read644	RXN-13403
read645	RXN-MG-PROTOPORPHYRIN-METHYLESTER-SYN
read646	HOMOCYSMETB12-RXN
read647	2.1.1.130-RXN
read648	2.1.1.131-RXN
read649	2.1.1.132-RXN
read650	2.1.1.133-RXN
read651	HOMOCYSMET-RXN
read652	RXN-12730
read653	RXN0-2441
read654	RXN-8850
read655	2.1.1.151-RXN
read656	RXN-8760
read657	R322-RXN
read658	RXN-9220
read659	RXN-9366
read660	RXN-11046
read661	RXN-9363
read662	RXN-9205
read663	RXN-19667
read664	RXN-9361
read665	RXN-14177
read666	RXN-9362
read667	RXN-9191
read668	ADOMET-DMK-METHYLTRANSFER-RXN
read669	RXN-11845
read670	2.1.1.17-RXN
read671	RXN-11578
read672	RXN0-6515
read673	RXN-11576
read674	RXN-11574
read675	RXN-11591
read676	RXN-11592
read677	RXN-11596
read678	RXN-11633
read679	RXN-11597
read680	RXN-11588
read681	RXN-11573
read682	RXN-11600
read683	RXN-11601
read684	RXN-11602
read685	RXN-11586
read686	RXN-11598
read687	RXN-8764
read688	RXN-8766
read689	RXN-11475
read690	RXN-11637
read691	RXN-11638
read692	RXN-11754
read693	RXN3O-54
read694	RXN-9235
read695	RXN-9242
read696	RXN-14296
read697	RXN-9227
read698	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN
read699	RXN-11865
read700	RXN-11860
read701	RXN-10669
read702	RXN-12472
read703	RXN-12469
read704	RXN-12466
read705	RXN-12160
read706	RXN-9225
read707	2-OCTAPRENYL-6-OHPHENOL-METHY-RXN
read708	RXN-9233
read709	RXN-9240
read710	RXN-12480
read711	RXN-12463
read712	RXN-12462
read713	RXN-12458
read714	RXN-14517
read715	RXN0-6731
read716	RXN-12908
read717	RXN-8102
read718	METHCOCLTH-RXN
read719	RXN-17760
read720	RXN0-6950
read721	RXN0-6998
read722	RXN-8762
read723	RXN-8767
read724	RXN-14992
read725	TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN
read726	2.1.1.34-RXN
read727	TRNA-URACIL-5--METHYLTRANSFERASE-RXN
read728	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
read729	2.1.1.44-RXN
read730	RXN-14437
read731	RXN-14438
read732	RXN-14431
read733	THYMIDYLATESYN-RXN
read734	2.1.1.63-RXN
read735	RXN-17824
read736	RXN-9237
read737	RXN-11758
read738	DHHB-METHYLTRANSFER-RXN
read739	2.1.1.64-RXN
read740	RXN-9229
read741	RXN3O-102
read742	RXN-14293
read743	2.1.1.71-RXN
read744	RXN4FS-2
read745	2.1.1.72-RXN
read746	2.1.1.74-RXN
read747	2.1.1.77-RXN
read748	RXN1G-2544
read749	2.1.1.79-RXN
read750	RXN-7421
read751	RXN1G-3641
read752	CHER-RXN
read753	2.1.1.90-RXN
read754	RXN-8095
read755	GLYOHMETRANS-RXN
read756	GCVT-RXN
read757	RXN-15635
read758	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN
read759	GART-RXN
read760	AICARTRANSFORM-RXN
read761	GLUTAMATE-FORMIMINOTRANSFERASE-RXN
read762	METHIONYL-TRNA-FORMYLTRANSFERASE-RXN
read763	2.1.3.1-RXN
read764	RXN-9778
read765	ASPCARBTRANS-RXN
read766	ORNCARBAMTRANSFER-RXN
read767	RXN-13482
read768	PUTRESCINE-CARBAMOYLTRANSFERASE-RXN
read769	GLYCINE-AMIDINOTRANSFERASE-RXN
read770	RXN-8348
read771	1TRANSKETO-RXN
read772	2TRANSKETO-RXN
read773	TRANSALDOL-RXN
read774	ACETOOHBUTSYN-RXN
read775	ACETOLACTSYN-RXN
read776	DXS-RXN
read777	2.5.1.64-RXN
read778	RXN0-6948
read779	N-ACETYLTRANSFER-RXN
read780	2.3.1.101-RXN
read781	ARGININE-N-SUCCINYLTRANSFERASE-RXN
read782	RXN-7561
read783	TETHYDPICSUCC-RXN
read784	2.3.1.118-RXN
read785	RXN0-1133
read786	DIHYDLIPACETRANS-RXN
read787	RXN1G-874
read788	UDPNACETYLGLUCOSAMACYLTRANS-RXN
read789	RXN-17018
read790	RXN-17016
read791	RXN-17017
read792	RXN-10462
read793	RXN-15045
read794	RXN-13805
read795	RXN-16117
read796	RXN-16024
read797	RXN-1381
read798	2.3.1.157-RXN
read799	METHYLACETOACETYLCOATHIOL-RXN
read800	RXN-17787
read801	RXN-17116
read802	RXN-12561
read803	RXN-10701
read804	RXN-14277
read805	RXN-20153
read806	RXN-14274
read807	RXN-17778
read808	RXN-13617
read809	RXN-17791
read810	RXN-14799
read811	RXN-12565
read812	RXN-16137
read813	RXN-14793
read814	RXN-10699
read815	RXN-17782
read816	RXN-14774
read817	RXN-11246
read818	RXN-17795
read819	RXN-14803
read820	RXN-14268
read821	RXN-19804
read822	KETOACYLCOATHIOL-RXN
read823	RXN-19800
read824	RXN-12751
read825	ACETYL-COA-ACETYLTRANSFER-RXN
read826	RXN-10700
read827	RXN-17799
read828	RXN-12710
read829	RXN-14788
read830	RXN-14394
read831	RXN-8809
read832	2.3.1.164-RXN
read833	MBCOA-DHLIPOAMIDE-RXN
read834	ISOVALERYLCOA-DHLIPOAMIDE-RXN
read835	2.3.1.168-RXN
read836	ACETYLSYNCLTH-RXN
read837	R102-RXN
read838	RXN-9516
read839	RXN-16625
read840	3-OXOACYL-ACP-SYNTH-BASE-RXN
read841	RXN-9531
read842	RXN-10654
read843	RXN1G-460
read844	RXN-11479
read845	RXN-9527
read846	RXN-16615
read847	2.3.1.41-RXN
read848	RXN-9523
read849	RXN-16629
read850	2.3.1.179-RXN
read851	3-OXOACYL-ACP-SYNTH-RXN
read852	RXN-9535
read853	RXN-10658
read854	RXN3O-1803
read855	RXN0-2141
read856	RXN-9539
read857	RXN-16621
read858	RXN-8391
read859	RXN-11474
read860	GALACTOACETYLTRAN-RXN
read861	2.3.1.180-RXN
read862	RXN-13037
read863	RXN0-947
read864	RXN-7743
read865	RXN-9382
read866	RXN-10837
read867	RXN-9729
read868	RXN1G-4
read869	PHOSPHATE-BUTYRYLTRANSFERASE-RXN
read870	UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN
read871	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN
read872	RXN-13589
read873	RXN-10000
read874	RXN-14718
read875	RXN-14719
read876	RXN-14570
read877	LAUROYLACYLTRAN-RXN
read878	CHLORAMPHENICOL-O-ACETYLTRANSFERASE-RXN
read879	AKBLIG-RXN
read880	SERINE-O-ACETTRAN-RXN
read881	HOMOSERINE-O-ACETYLTRANSFERASE-RXN
read882	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
read883	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
read884	MALONYL-COA-ACP-TRANSACYL-RXN
read885	ACYLGPEACYLTRANS-RXN
read886	RXN-9652
read887	RXN-9648
read888	RXN1G-499
read889	RXN-9653
read890	RXN-9650
read891	RXN1G-445
read892	RXN-10059
read893	RXN-9654
read894	RXN-9651
read895	RXN1G-368
read896	RXN-9632
read897	HOMSUCTRAN-RXN
read898	7KAPSYN-RXN
read899	RXN-11484
read900	HISTONE-ACETYLTRANSFERASE-RXN
read901	RXN0-6705
read902	RXN-17015
read903	RXN-17012
read904	RXN-16032
read905	RXN0-5514
read906	RXN-17022
read907	RXN-17019
read908	RXN-1623
read909	RXN-17013
read910	RXN-17009
read911	1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN
read912	RXN-17023
read913	RXN-17020
read914	RXN-17014
read915	RXN-17024
read916	RXN-16076
read917	RXN-17729
read918	RXN-16067
read919	RXN-17010
read920	RXN-16077
read921	RXN-15043
read922	RXN-17011
read923	RXN-16118
read924	RXN-16025
read925	RXN-17008
read926	RXN-17021
read927	PYRUVFORMLY-RXN
read928	RXN-19536
read929	RXN-0
read930	RXN-9939
read931	RXN0-7165
read932	DIAMACTRANS-RXN
read933	SPERMACTRAN-RXN
read934	RXN-12667
read935	RXN0-1147
read936	CARNITINE-O-ACETYLTRANSFERASE-RXN
read937	RXN-18367
read938	RXN-18368
read939	MALTACETYLTRAN-RXN
read940	PHOSACETYLTRANS-RXN
read941	AMINOGLYCOSIDE-N3-ACETYLTRANSFERASE-RXN
read942	2.3.1.89-RXN
read943	2.3.2.10-RXN
read944	RXN66-336
read945	RXN-6601
read946	GAMMA-GLUTAMYLTRANSFERASE-RXN
read947	RXN-9157
read948	RXN-18092
read949	LYSYLTRANSFERASE-RXN
read950	RXN-19145
read951	RXN-17846
read952	RXN-17847
read953	LEUCYLTRANSFERASE-RXN
read954	RXN-17848
read955	RXN-17890
read956	RXN-17891
read957	RXN-17888
read958	RXN-17889
read959	ARGINYLTRANSFERASE-RXN
read960	CITSYN-RXN
read961	2-ISOPROPYLMALATESYN-RXN
read962	HOMOCITRATE-SYNTHASE-RXN
read963	RXN-2364
